product_id,product_handle,product_title,product_status,flagged_variant_count,min_aud_across_variants,max_aud_across_variants
prod_01KPJQCCY098HYB58AEVW7ST85,as-colour-linen-apron-1086,AS Colour Linen Apron 1086,draft,2,0.93,0.93
prod_01KPJQCCY0A56WWJ4DFPMXZKH8,as-colour-finn-nylon-cap-1104,AS Colour Finn Nylon Cap 1104,published,4,0.42,0.42
prod_01KPJQCCY0DP9V7M0FMN4NS336,as-colour-oversized-tote-bag-1040,AS Colour Oversized Tote Bag 1040,published,2,0.38,0.38
prod_01KPJQCCY0F5E3R4A276H0ZYBX,as-colour-finn-two-tone-nylon-cap-1105,AS Colour Finn Two-Tone Nylon Cap 1105,published,2,0.42,0.42
prod_01KPJQCCY0H47X8VQ2BWSBZX5Z,as-colour-stock-cap-1100,AS Colour Stock Cap 1100,published,10,0.42,0.42
prod_01KPJQCCY0J00SQ5X51XTW18VZ,as-colour-rain-duffel-bag-1036,AS Colour Rain Duffel Bag 1036,draft,1,1.8,1.8
prod_01KPJQCCY0K1EEE362ZAKHDWTB,as-colour-recycled-light-duffel-bag-1038,AS Colour Recycled Light Duffel Bag 1038,draft,1,0.68,0.68
prod_01KPJQCCY0K5214DHJDQQGRMBE,as-colour-denim-half-apron-1085,AS Colour Denim Half Apron 1085,draft,2,0.83,0.83
prod_01KPJQCCY0P4CBMEKE5KEYASEC,as-colour-finn-five-panel-cap-1103,AS Colour Finn Five Panel Cap 1103,published,4,0.39,0.39
prod_01KPJQCCY0WH1EJ7T0PN75HSVW,as-colour-denim-apron-1084,AS Colour Denim Apron 1084,draft,2,0.93,0.93
prod_01KPJQCCY0XQE7N4QDF72ANJH7,as-colour-linen-half-apron-1087,AS Colour Linen Half Apron 1087,draft,2,0.83,0.83
prod_01KPJQCCY11S2Z65X1VJERJXBX,as-colour-cuff-beanie-1107,AS Colour Cuff Beanie 1107,published,17,0.33,0.33
prod_01KPJQCCY162Z19477QEYJPYDB,as-colour-stock-trucker-cap-1108,AS Colour Stock Trucker Cap 1108,published,6,0.39,0.39
prod_01KPJQCCY17FT0RV3E84XM9SN4,as-colour-cable-beanie-1120,AS Colour Cable Beanie 1120,published,16,0.33,0.33
prod_01KPJQCCY18B7V95GBBH18ZSFQ,as-colour-surf-cap-1114,AS Colour Surf Cap 1114,published,48,0.39,0.39
prod_01KPJQCCY1BD2AM3CJ2PF84XMH,as-colour-stock-flex-cap-1106,AS Colour Stock Flex Cap 1106,published,24,0.39,0.39
prod_01KPJQCCY1C1297FK0XVT4F26C,as-colour-gauge-beanie-1125,AS Colour Gauge Beanie 1125,published,4,0.39,0.39
prod_01KPJQCCY1E6VFEMWPP3Q6JDZ2,as-colour-surf-cotton-cap-1119,AS Colour Surf Cotton Cap 1119,published,6,0.45,0.45
prod_01KPJQCCY1FP0VGVGWQ53DEF7X,as-colour-stock-contrast-trucker-1110,AS Colour Stock Contrast Trucker 1110,published,7,0.39,0.39
prod_01KPJQCCY1JAW6QNRJ57T3B08X,as-colour-pom-pom-beanie-1124,AS Colour Pom Pom Beanie 1124,published,3,0.33,0.33
prod_01KPJQCCY1VFPQXFHYHVBCC4GP,as-colour-surf-rope-cap-1123,AS Colour Surf Rope Cap 1123,published,6,0.39,0.39
prod_01KPJQCCY1VVMS3J94KVNAPNE9,as-colour-knit-beanie-1115,AS Colour Knit Beanie 1115,published,2,0.39,0.39
prod_01KPJQCCY1X3XW3D7YT11RRMFB,as-colour-bucket-hat-1117,AS Colour Bucket Hat 1117,published,13,0.45,0.45
prod_01KPJQCCY21D9JX3XYCYBGD648,as-colour-icon-nylon-cap-1142,AS Colour Icon Nylon Cap 1142,published,4,0.39,0.39
prod_01KPJQCCY21QD5R750M2MZ2AP4,as-colour-access-canvas-cap-1131,AS Colour Access Canvas Cap 1131,published,5,0.39,0.39
prod_01KPJQCCY2AZJMTXQ49TKNG62C,as-colour-wo-s-access-cap-1138,AS Colour Wo's Access Cap 1138,published,3,0.39,0.39
prod_01KPJQCCY2E362G27M8FKX73MS,as-colour-icon-trucker-cap-1141,AS Colour Icon Trucker Cap 1141,published,5,0.39,0.39
prod_01KPJQCCY2E6JQQC42ZCK0BS8J,as-colour-icon-kids-cap-1149,AS Colour Icon Kids Cap 1149,published,1,0.39,0.39
prod_01KPJQCCY2ED0RCQ3ZXH0YN73A,as-colour-access-five-panel-cap-1132,AS Colour Access Five Panel Cap 1132,published,4,0.39,0.39
prod_01KPJQCCY2FZ2W267TMVC6MV4J,as-colour-icon-cap-1140,AS Colour Icon Cap 1140,published,10,0.39,0.39
prod_01KPJQCCY2PSPCXVQM362EZ80C,as-colour-access-cord-cap-1135,AS Colour Access Cord Cap 1135,published,4,0.39,0.39
prod_01KPJQCCY2R46W3W8W3TZW18JR,as-colour-icon-flex-cap-1143,AS Colour Icon Flex Cap 1143,published,16,0.39,0.39
prod_01KPJQCCY2RVFX5DH5XKB22M67,as-colour-access-faded-cap-1134,AS Colour Access Faded Cap 1134,published,4,0.39,0.39
prod_01KPJQCCY2W2XYC2MSV3HS231D,as-colour-surf-kids-cap-1129,AS Colour Surf Kids Cap 1129,published,2,0.33,0.33
prod_01KPJQCCY2XR2BRKPRKFG6CKE9,as-colour-access-cap-1130,AS Colour Access Cap 1130,published,10,0.39,0.39
prod_01KPJQCCY2YQY04RP03TB5637Y,as-colour-access-active-cap-1133,AS Colour Access Active Cap 1133,published,2,0.45,0.45
prod_01KPJQCCY31RF2FJGB6VXHVFY1,as-colour-class-wool-cap-1151,AS Colour Class Wool Cap 1151,published,2,0.45,0.45
prod_01KPJQCCY33K9EZM184FHRJ33V,as-colour-class-cord-cap-1152,AS Colour Class Cord Cap 1152,published,9,0.45,0.45
prod_01KPJQCCY34EYQWBY63J65N3GB,as-colour-frame-foam-trucker-cap-1161,AS Colour Frame Foam Trucker Cap 1161,published,12,0.45,0.45
prod_01KPJQCCY35SKZX89G9A1AJE07,as-colour-frame-foam-two-tone-trucker-1163,AS Colour Frame Foam Two-Tone Trucker 1163,published,3,0.45,0.45
prod_01KPJQCCY35Z30ZKNJQJH43TDF,as-colour-class-performance-cap-1155,AS Colour Class Performance Cap 1155,published,4,0.39,0.39
prod_01KPJQCCY38X9Q7SWEZHZJFKNV,as-colour-class-linen-cap-1158,AS Colour Class Linen Cap 1158,published,2,0.45,0.45
prod_01KPJQCCY3GDS437F158J8KV9W,as-colour-class-cord-two-tone-cap-1159,AS Colour Class Cord Two-Tone Cap 1159,published,8,0.48,0.48
prod_01KPJQCCY3HP44PEQVBN64NWRQ,as-colour-class-five-panel-cap-1153,AS Colour Class Five Panel Cap 1153,published,4,0.39,0.39
prod_01KPJQCCY3Q4Q5SEB2226MNJ0E,as-colour-frame-cap-1160,AS Colour Frame Cap 1160,published,6,0.39,0.39
prod_01KPJQCCY3R8Z3PSKVKA7DMR0M,as-colour-class-cap-1150,AS Colour Class Cap 1150,published,4,0.39,0.39
prod_01KPJQCCY3RA5G4WPGX4TCAFTY,as-colour-class-two-tone-cap-1154,AS Colour Class Two-Tone Cap 1154,published,17,0.39,0.39
prod_01KPJQCCY3S5R2S41CPH22KAJZ,as-colour-frame-nylon-cap-1162,AS Colour Frame Nylon Cap 1162,published,5,0.39,0.39
prod_01KPJQCCY3VVV8BBYB8S1CS5Q6,as-colour-class-cord-trucker-cap-1157,AS Colour Class Cord Trucker Cap 1157,published,3,0.39,0.39
prod_01KPJQCCY3VZMDX9Y4FFNGH5HX,as-colour-class-canvas-cap-1156,AS Colour Class Canvas Cap 1156,published,8,0.39,0.39
prod_01KPJQCCY40MTG7CXQ99R5THSE,as-colour-frame-two-tone-cap-1165,AS Colour Frame Two-Tone Cap 1165,published,7,0.48,0.48
prod_01KPJQCCY41AJJ9SGE8CJ1VHTH,as-colour-terry-bucket-hat-1175,AS Colour Terry Bucket Hat 1175,published,6,0.45,0.45
prod_01KPJQCCY450JSZV5Z65KK66YS,as-colour-nylon-wide-brim-bucket-hat-1174,AS Colour Nylon Wide Brim Bucket Hat 1174,published,5,0.45,0.45
prod_01KPJQCCY49294QG6JE4E4MFGT,as-colour-wo-s-bucket-hat-1178,AS Colour Wo's Bucket Hat 1178,published,3,0.45,0.45
prod_01KPJQCCY4ADKM2NKYWJ0J3E5Z,as-colour-frame-soft-cap-1164,AS Colour Frame Soft Cap 1164,published,4,0.48,0.48
prod_01KPJQCCY4BXFSA9D1SX485K36,as-colour-kids-bucket-hat-1170,AS Colour Kids Bucket Hat 1170,published,2,0.45,0.45
prod_01KPJQCCY4ETWJHRN06G715ZXY,as-colour-frame-perforated-cap-1166,AS Colour Frame Perforated Cap 1166,draft,5,0.48,0.48
prod_01KPJQCCY4F04HGTF5QQRGJCDB,as-colour-nylon-bucket-hat-1171,AS Colour Nylon Bucket Hat 1171,published,11,0.45,0.45
prod_01KPJQCCY4KPVWTYYN94F5DBV9,as-colour-cord-bucket-hat-1176,AS Colour Cord Bucket Hat 1176,published,8,0.45,0.45
prod_01KPJQCCY4Y8SWY96M1AQQFWSD,as-colour-active-finn-cap-1180,AS Colour Active Finn Cap 1180,published,3,0.39,0.39
prod_01KPJQCCY4YJXE651K9W9DK3WV,as-colour-wide-brim-bucket-hat-1172,AS Colour Wide Brim Bucket Hat 1172,published,4,0.45,0.45
prod_01KPJQCCY54W1WM7Q5E7Z90C1G,as-colour-class-cord-rope-cap-1185,AS Colour Class Cord Rope Cap 1185,published,9,0.48,0.48
prod_01KPJQCCY5ED1TWTDA5TCBAGMS,as-colour-mesh-trucker-cap-1190,AS Colour Mesh Trucker Cap 1190,published,12,0.48,0.48
prod_01KPJQCCY5FKDYEKSRZPETV6ZV,as-colour-boxer-briefs-1201,AS Colour Boxer Briefs 1201,draft,15,0.23,0.23
prod_01KPJQCCY5GTHR4QP3KCB74CPZ,as-colour-boxer-shorts-1202,AS Colour Boxer Shorts 1202,draft,20,0.3,0.3
prod_01KPJQCCY5K3EDCFVZFJ96R6EX,as-colour-faded-bucket-hat-1181,AS Colour Faded Bucket Hat 1181,published,3,0.48,0.48
prod_01KPJQCCY5MH0V0F0GA7Q96QHB,as-colour-stock-7-panel-cap-1184,AS Colour Stock 7-Panel Cap 1184,published,4,0.39,0.39
prod_01KPJQCCY5VR2AQQB4RX99E8XB,as-colour-marle-socks-2-pairs-1205,AS Colour Marle Socks (2 Pairs) 1205,draft,4,0.23,0.23
prod_01KPJQCCY61G84MFS5B9X5TJ6E,as-colour-invisible-socks-2-pairs-1206,AS Colour Invisible Socks (2 Pairs) 1206,draft,8,0.18,0.18
prod_01KPJQCCY61RWA02HFARTXK8DP,as-colour-relax-stripe-socks-2-pairs-1210,AS Colour Relax Stripe Socks (2 Pairs) 1210,draft,8,0.3,0.3
prod_01KPJQCCY62JA5ERY2X70D2A2B,as-colour-braided-leather-belt-1405,AS Colour Braided Leather Belt 1405,draft,8,0.97,0.97
prod_01KPJQCCY63KKF4DEX5BR8C156,as-colour-knit-socks-2-pairs-1214,AS Colour Knit Socks (2 Pairs) 1214,draft,6,0.53,0.53
prod_01KPJQCCY6AVW92ZJASMC1R3SJ,as-colour-relax-socks-2-pairs-1208,AS Colour Relax Socks (2 Pairs) 1208,draft,32,0.23,0.23
prod_01KPJQCCY6B6KVFCKRSHPHQNVY,as-colour-trunks-1211,AS Colour Trunks 1211,draft,20,0.23,0.23
prod_01KPJQCCY6CFECHWFYS0XQZ959,as-colour-business-socks-2-pairs-1213,AS Colour Business Socks (2 Pairs) 1213,draft,6,0.3,0.3
prod_01KPJQCCY6FZE6VK3JGJXMVRAS,as-colour-boxer-check-shorts-1215,AS Colour Boxer Check Shorts 1215,draft,5,0.3,0.3
prod_01KPJQCCY6GQ5KNGC14FGGXES7,as-colour-speckle-socks-2-pairs-1209,AS Colour Speckle Socks (2 Pairs) 1209,draft,2,0.3,0.3
prod_01KPJQCCY6QJEXEDCBH4TDKFS5,as-colour-cotton-webbing-belt-1406,AS Colour Cotton Webbing Belt 1406,draft,8,0.54,0.54
prod_01KPJQCCY6VBGGSW754C3795NG,as-colour-boxer-fine-stripe-shorts-1216,AS Colour Boxer Fine Stripe Shorts 1216,draft,20,0.3,0.3
prod_01KPJQCCY6Y185CBSHCJX86KCN,as-colour-slub-socks-2-pairs-1217,AS Colour Slub Socks (2 Pairs) 1217,draft,4,0.3,0.3
prod_01KPJQCCY6Y91ZETEFECG4NC73,as-colour-leather-belt-1404,AS Colour Leather Belt 1404,draft,8,0.6,0.6
prod_01KPJQCCY6Z5AMZQPZ3GK88P27,as-colour-logo-briefs-1218,AS Colour Logo Briefs 1218,draft,10,0.27,0.27
prod_01KPJQCCY6ZEFKEMA716KX08NQ,as-colour-briefs-1212,AS Colour Briefs 1212,draft,20,0.12,0.12
prod_01KPJQCCY6ZJPWD4VVYTGA7MW6,as-colour-asc-coffee-cup-1500,AS Colour ASC Coffee Cup 1500,draft,1,0.15,0.15
prod_01KPJQCCY72VEWK9T642SZ5F9V,as-colour-asc-tape-measure-1510,AS Colour ASC Tape Measure 1510,draft,1,0.3,0.3
prod_01KPJQCCY793MP3K8RZR4RNT61,as-colour-asc-pen-1503,AS Colour ASC Pen 1503,draft,1,0.03,0.03
prod_01KPJQCCY7BEB3SHHH1SKRXXF5,as-colour-asc-utility-knife-1509,AS Colour ASC Utility Knife 1509,draft,1,0.38,0.38
prod_01KPJQCCY7ECPS95CHMSTQX0EV,as-colour-asc-mini-b-ball-set-1505,AS Colour ASC Mini B-Ball Set 1505,draft,2,1.35,1.35
prod_01KPJQCCY7GVS1V94PCT1KAY92,as-colour-asc-builders-pencil-10-pack-1508,AS Colour ASC Builders Pencil 10 Pack 1508,draft,1,0.15,0.15
prod_01KPJQCCY7QZRNFF1VG87S1GNZ,as-colour-asc-utility-stool-1507,AS Colour ASC Utility Stool 1507,draft,1,0.53,0.53
prod_01KPJQCCY7WMDGN5Y8E8F4QRRN,as-colour-asc-drink-bottle-1501,AS Colour ASC Drink Bottle 1501,draft,1,0.3,0.3
prod_01KPJQCCY7XKWHZAMVNSPHF6ZD,as-colour-asc-pet-bowl-1506,AS Colour ASC Pet Bowl 1506,draft,1,0.3,0.3
prod_01KPJQCCY7YAQQ66Y89SFME3J6,as-colour-asc-keychain-1504,AS Colour ASC Keychain 1504,draft,1,0.15,0.15
prod_01KPJQCCY82VAQVS50ZPC5EMZ2,as-colour-asc-palette-knife-1515,AS Colour ASC Palette Knife 1515,draft,1,0.27,0.27
prod_01KPJQCCY88KP6RYYHN5RM8DQF,as-colour-script-sticker-1517,AS Colour Script Sticker 1517,draft,1,0.03,0.03
prod_01KPJQCCY8932PJQ31P19B7ZY3,as-colour-asc-squeegee-1514,AS Colour ASC Squeegee 1514,draft,1,1.05,1.05
prod_01KPJQCCY8A42EW6D27YNTH83H,as-colour-canvas-flag-1512,AS Colour Canvas Flag 1512,draft,2,0.23,0.23
prod_01KPJQCCY8FPE0AT0YAXN9CY5A,as-colour-canvas-pennant-flag-1513,AS Colour Canvas Pennant Flag 1513,draft,2,0.23,0.23
prod_01KPJQCCY8GC1S7242WZY37ZKN,as-colour-canvas-large-flag-1519,AS Colour Canvas Large Flag 1519,draft,2,0.3,0.3
prod_01KPJQCCY8KWK7HJCM378E5C4H,as-colour-logo-sticker-1516,AS Colour Logo Sticker 1516,draft,1,0.03,0.03
prod_01KPJQCCY8WS48PW1HRVPGNQFS,as-colour-as-sticker-1518,AS Colour AS Sticker 1518,draft,1,0.03,0.03
prod_01KPJQCCY8XR8KDYZP3VG99A83,as-colour-tea-towel-1511,AS Colour Tea Towel 1511,draft,3,0.15,0.15
prod_01KPJQCCY912RMY472X5Z5EXQM,as-colour-organic-infant-mini-me-one-piece-3003,AS Colour Organic Infant Mini-Me One-Piece 3003,published,30,0.27,0.27
prod_01KPJQCCY91PAX2QSRZ662J4JF,as-colour-asc-mini-baseball-set-1521,AS Colour ASC Mini Baseball Set 1521,draft,1,0.75,0.75
prod_01KPJQCCY91V9D96T5PRNATE9E,as-colour-youth-staple-tee-3006,AS Colour Youth Staple Tee 3006,published,115,0.3,0.3
prod_01KPJQCCY92531KZFEAQ09HCCW,as-colour-kids-staple-l-s-tee-3007,AS Colour Kids Staple L/S Tee 3007,published,9,0.38,0.38
prod_01KPJQCCY92S32R79VY43HB0CQ,as-colour-kids-staple-tee-3005,AS Colour Kids Staple Tee 3005,published,69,0.3,0.3
prod_01KPJQCCY96Q9J98MZ1ATSB45X,as-colour-youth-staple-l-s-tee-3008,AS Colour Youth Staple L/S Tee 3008,published,15,0.38,0.38
prod_01KPJQCCY99X6XDT0J9P88AEPM,as-colour-organic-infant-wee-tee-3001,AS Colour Organic Infant Wee Tee 3001,published,30,0.23,0.23
prod_01KPJQCCY9AEB41GPVEFCCQE6J,as-colour-asc-lanyard-1523,AS Colour ASC Lanyard 1523,draft,1,0.12,0.12
prod_01KPJQCCY9SDXG03Z233ASRP5W,as-colour-asc-corkscrew-1522,AS Colour ASC Corkscrew 1522,draft,1,0.3,0.3
prod_01KPJQCHPS21EBF1CQ4W8FEVNY,as-colour-kids-barnard-tank-3009,AS Colour Kids Barnard Tank 3009,published,12,0.3,0.3
prod_01KPJQCHPS2T49X4DS2YPH8VVT,as-colour-youth-barnard-tank-3010,AS Colour Youth Barnard Tank 3010,published,20,0.3,0.3
prod_01KPJQCHPS6PZS1ANBE2TMJZWW,as-colour-youth-supply-track-pants-3024,AS Colour Youth Supply Track Pants 3024,draft,12,0.54,0.54
prod_01KPJQCHPS8T5QPGK1K6TRZWKG,as-colour-kids-supply-track-pants-3023,AS Colour Kids Supply Track Pants 3023,draft,9,0.54,0.54
prod_01KPJQCHPSATS2RWEMWN4ZCBC4,as-colour-kids-supply-crew-3030,AS Colour Kids Supply Crew 3030,published,6,0.54,0.54
prod_01KPJQCHPSEX3KT4ZK6PKGPTJQ,as-colour-youth-supply-crew-3031,AS Colour Youth Supply Crew 3031,published,6,0.54,0.54
prod_01KPJQCHPSKB43K7QEJ7M8V3KS,as-colour-kids-supply-hood-3032,AS Colour Kids Supply Hood 3032,published,21,0.63,0.63
prod_01KPJQCHPSNHG5VX76368MZKG0,as-colour-kids-stadium-shorts-3025,AS Colour Kids Stadium Shorts 3025,draft,3,0.45,0.45
prod_01KPJQCHPSVXGKPEDVVAJ1F0RK,as-colour-youth-supply-hood-3033,AS Colour Youth Supply Hood 3033,published,21,0.63,0.63
prod_01KPJQCHPSZCAY4C6ZX6021RTP,as-colour-youth-stadium-shorts-3026,AS Colour Youth Stadium Shorts 3026,draft,4,0.45,0.45
prod_01KPJQCHPT2NX83ZHFGNWKKHCY,as-colour-kids-relax-track-shorts-3042,AS Colour Kids Relax Track Shorts 3042,draft,6,0.6,0.6
prod_01KPJQCHPT39WXXCJQ5KY9FRQT,as-colour-kids-relax-zip-hood-3038,AS Colour Kids Relax Zip Hood 3038,published,3,0.75,0.75
prod_01KPJQCHPT42KE0VFMG8KHVG3P,as-colour-youth-relax-crew-3035,AS Colour Youth Relax Crew 3035,published,6,0.63,0.63
prod_01KPJQCHPT5CXMGVVZC6YE17Y0,as-colour-youth-relax-track-pants-3041,AS Colour Youth Relax Track Pants 3041,draft,3,0.63,0.63
prod_01KPJQCHPT9KJ61C3BEAZXJYC0,as-colour-youth-classic-l-s-tee-3063,AS Colour Youth Classic L/S Tee 3063,published,10,0.39,0.39
prod_01KPJQCHPT9REXM7Z4WCC6ZE3Y,as-colour-kids-heavy-faded-tee-3070,AS Colour Kids Heavy Faded Tee 3070,published,9,0.42,0.42
prod_01KPJQCHPT9VVCSQSWTZ8SCM6X,as-colour-kids-classic-l-s-tee-3062,AS Colour Kids Classic L/S Tee 3062,published,6,0.39,0.39
prod_01KPJQCHPTBXZS17KCRRXERNWR,as-colour-wo-s-martina-tee-4006,AS Colour Wo's Martina Tee 4006,published,56,0.48,0.48
prod_01KPJQCHPTG5H98NQR7QTDJ3ZM,as-colour-youth-relax-zip-hood-3039,AS Colour Youth Relax Zip Hood 3039,published,3,0.75,0.75
prod_01KPJQCHPTHD7PVFTKDTHF556Z,as-colour-youth-relax-track-shorts-3043,AS Colour Youth Relax Track Shorts 3043,draft,8,0.6,0.6
prod_01KPJQCHPTJ9MR0NX5D3JDK02G,as-colour-kids-relax-crew-3034,AS Colour Kids Relax Crew 3034,published,6,0.63,0.63
prod_01KPJQCHPTKEMQR2DH0BF481FJ,as-colour-wo-s-maple-tee-4001,AS Colour Wo's Maple Tee 4001,published,320,0.42,0.42
prod_01KPJQCHPTR8NG5G92REGF8KFG,as-colour-youth-relax-hood-3037,AS Colour Youth Relax Hood 3037,published,6,0.68,0.68
prod_01KPJQCHPTRHTJ6MBZWHHRW6ES,as-colour-kids-classic-tee-3060,AS Colour Kids Classic Tee 3060,published,42,0.33,0.33
prod_01KPJQCHPTRR94CTGH54ASYTZE,as-colour-kids-relax-track-pants-3040,AS Colour Kids Relax Track Pants 3040,draft,3,0.63,0.63
prod_01KPJQCHPTVCNX58QQ372GSE89,as-colour-kids-relax-hood-3036,AS Colour Kids Relax Hood 3036,published,6,0.68,0.68
prod_01KPJQCHPTXG3GSC4K4VR615CR,as-colour-youth-heavy-faded-tee-3071,AS Colour Youth Heavy Faded Tee 3071,published,12,0.42,0.42
prod_01KPJQCHPTYQRXTPVKFNGV9NM4,as-colour-youth-classic-tee-3061,AS Colour Youth Classic Tee 3061,published,70,0.33,0.33
prod_01KPJQCHPTYWJXYM484VGV8C8R,as-colour-wo-s-mali-tee-4008,AS Colour Wo's Mali Tee 4008,published,51,0.42,0.42
prod_01KPJQCHPV0BJ83A78VBY5CAV3,as-colour-wo-s-mali-l-s-tee-4009,AS Colour Wo's Mali L/S Tee 4009,published,12,0.45,0.45
prod_01KPJQCHPV3Z7DZF5AH7VCZ6QT,as-colour-wo-s-maple-scoop-tee-4019,AS Colour Wo's Maple Scoop Tee 4019,published,12,0.42,0.42
prod_01KPJQCHPV76N724ZQVTBN9WYQ,as-colour-wo-s-maple-minus-tee-8cm-4025-4025,AS Colour Wo's Maple Minus Tee [-8cm] 4025 4025,published,12,0.08,0.08
prod_01KPJQCHPVBYJB9TXARGPGH77B,as-colour-wo-s-classic-tee-4026,AS Colour Wo's Classic Tee 4026,published,97,0.48,0.48
prod_01KPJQCHPVC3EN4QDKADD0W38T,as-colour-wo-s-maple-v-neck-tee-4023,AS Colour Wo's Maple V Neck Tee 4023,published,12,0.42,0.42
